,None,D0,D1,D2,D3,D4
162,95.68,4.32,0.0,0.0,0.0,0.0
163,95.68,4.32,0.0,0.0,0.0,0.0
164,95.68,4.32,0.0,0.0,0.0,0.0
165,94.03,5.97,0.0,0.0,0.0,0.0
166,94.03,5.97,0.0,0.0,0.0,0.0
167,94.03,5.97,0.0,0.0,0.0,0.0
168,94.03,5.97,0.0,0.0,0.0,0.0
169,94.03,5.97,0.0,0.0,0.0,0.0
170,94.03,5.97,0.0,0.0,0.0,0.0
171,94.03,5.97,0.0,0.0,0.0,0.0
172,94.03,5.97,0.0,0.0,0.0,0.0
173,93.42,6.58,0.0,0.0,0.0,0.0
174,93.42,6.58,0.0,0.0,0.0,0.0
175,93.42,6.58,0.0,0.0,0.0,0.0
176,93.42,6.58,0.0,0.0,0.0,0.0
177,89.84,9.56,0.6,0.0,0.0,0.0
178,87.17,10.5,2.33,0.0,0.0,0.0
179,67.07,29.16,2.4,1.36,0.0,0.0
180,36.77,52.68,8.92,1.63,0.0,0.0
181,34.37,55.08,8.67,1.89,0.0,0.0
182,23.93,52.41,21.77,1.89,0.0,0.0
183,7.77,20.0,68.79,2.73,0.71,0.0
184,7.77,17.06,69.62,4.83,0.71,0.0
185,7.77,17.06,61.05,12.57,1.55,0.0
186,7.77,17.06,61.05,12.01,2.1,0.0
187,7.77,17.06,58.92,14.14,2.1,0.0
188,7.77,17.06,58.29,14.77,2.1,0.0
189,7.77,17.06,58.29,14.77,2.1,0.0
190,7.77,12.54,61.36,14.55,3.78,0.0
191,0.0,16.34,65.32,14.55,3.78,0.0
192,0.0,22.38,59.26,14.58,3.78,0.0
193,0.0,46.8,34.84,15.97,2.39,0.0
194,0.0,48.08,33.56,15.97,2.39,0.0
195,15.16,36.9,28.64,16.57,2.73,0.0
196,15.16,36.9,28.64,16.57,2.73,0.0
197,15.16,36.9,25.17,19.9,2.87,0.0
198,15.16,36.9,25.17,17.9,4.87,0.0
199,12.18,39.85,25.15,17.89,4.93,0.0
200,12.18,39.85,25.15,17.88,4.94,0.0
201,12.18,39.85,25.15,17.88,4.94,0.0
202,12.18,39.85,25.15,17.88,4.94,0.0
203,13.79,38.64,24.69,20.12,2.77,0.0
204,13.79,38.64,26.53,18.28,2.77,0.0
205,13.79,39.02,26.44,17.99,2.77,0.0
206,13.84,38.97,26.44,17.99,2.77,0.0
207,13.83,41.12,24.29,17.99,2.77,0.0
208,13.84,41.37,24.04,17.99,2.77,0.0
209,13.82,41.45,23.97,17.99,2.77,0.0
210,14.85,41.01,23.39,17.99,2.77,0.0
211,14.85,41.03,23.37,17.99,2.77,0.0
212,14.85,40.99,23.41,17.99,2.77,0.0
213,14.92,40.91,23.41,17.99,2.77,0.0
214,30.37,32.56,16.32,17.99,2.77,0.0
215,30.39,32.53,16.32,17.99,2.77,0.0
216,30.39,32.53,16.33,17.98,2.78,0.0
217,30.49,32.43,16.33,17.98,2.78,0.0
218,30.49,32.43,16.33,17.98,2.78,0.0
219,30.49,32.36,16.32,18.03,2.8,0.0
220,34.19,28.71,23.11,11.19,2.8,0.0
221,34.1,28.8,23.11,11.19,2.8,0.0
222,34.1,28.8,23.33,11.21,2.55,0.0
223,34.1,28.8,23.33,11.26,2.5,0.0
224,33.85,29.05,23.33,11.26,2.5,0.0
225,22.99,36.11,28.18,10.21,2.5,0.0
226,22.99,36.24,28.21,10.06,2.5,0.0
227,11.08,41.24,25.36,21.88,0.43,0.0
228,11.08,41.24,25.36,21.88,0.43,0.0
229,8.48,43.65,25.47,21.97,0.43,0.0
230,8.48,43.65,27.89,19.98,0.0,0.0
231,8.43,43.69,27.89,19.98,0.0,0.0
232,18.29,36.0,25.73,19.98,0.0,0.0
233,18.27,36.13,39.21,6.39,0.0,0.0
234,26.67,29.61,38.8,4.92,0.0,0.0
235,45.48,41.84,12.69,0.0,0.0,0.0
